SPECIES	TYPE	FEATURE	SCAFFOLD	START	END	GID	SUM	WINDOW	SPAN
Av	NRPS	telo	AVAG00441	71152	96152	AVAG|g43082.t1	66	25000	0.00264
Av	NRPS	telo	AVAG00466	24387	49387	AVAG|g44090.t1	66	25000	0.00264
Av	NRPS	telo	AVAG00466	68775	93775	AVAG|g44090.t1	54	25000	0.00216
Av	NRPS	telo	AVAG00466	52380	77380	AVAG|g44091.t1	60	25000	0.0024
Av	NRPS	telo	AVAG00466	95498	120498	AVAG|g44091.t1	174	25000	0.00696
Av	NRPS	telo	AVAG00488	65432	90432	AVAG|g44933.t1	60	25000	0.0024
Av	NRPS	telo	AVAG00488	95462	120462	AVAG|g44933.t1	54	25000	0.00216
Av	NRPS	telo	AVAG00529	0	6626	AVAG|g46324.t1	0	6626	0
Av	NRPS	telo	AVAG00529	12882	37882	AVAG|g46324.t1	216	25000	0.00864
Av	NRPS	telo	AVAG00591	29155	54155	AVAG|g48151.t1	156	25000	0.00624
Av	NRPS	telo	AVAG00591	77563	98730	AVAG|g48151.t1	102	21167	0.00481882175083857
Av	NRPS	telo	AVAG00617	19069	44069	AVAG|g48794.t1	30	25000	0.0012
Av	NRPS	telo	AVAG00617	51757	76757	AVAG|g48794.t1	6	25000	0.00024
Av	NRPS	telo	AVAG00634	22432	47432	AVAG|g49180.t1	138	25000	0.00552
Av	NRPS	telo	AVAG00634	59225	84225	AVAG|g49180.t1	90	25000	0.0036
Av	NRPS	telo	AVAG00686	71432	76277	AVAG|g50310.t1	0	4845	0
Av	NRPS	telo	AVAG00686	34437	59437	AVAG|g50310.t1	300	25000	0.012
Av	NRPS	telo	AVAG00695	0	8652	AVAG|g50457.t1	24	8652	0.00277392510402219
Av	NRPS	telo	AVAG00695	12273	37273	AVAG|g50457.t1	144	25000	0.00576
Av	NRPS	telo	AVAG00738	0	18612	AVAG|g51262.t1	114	18612	0.0061250805931657
Av	NRPS	telo	AVAG00738	26793	51793	AVAG|g51262.t1	150	25000	0.006
Av	NRPS	telo	AVAG00776	0	18913	AVAG|g51867.t1	30	18913	0.00158621054301274
Av	NRPS	telo	AVAG00776	21786	46786	AVAG|g51867.t1	246	25000	0.00984
Av	NRPS	telo	AVAG00776	0	23373	AVAG|g51868.t1	30	23373	0.00128353228083686
Av	NRPS	telo	AVAG00776	26101	51101	AVAG|g51868.t1	258	25000	0.01032
Av	NRPS	telo	AVAG00808	0	1431	AVAG|g52308.t1	0	1431	0
Av	NRPS	telo	AVAG00808	3796	28796	AVAG|g52308.t1	72	25000	0.00288
Av	NRPS	telo	AVAG00808	0	7101	AVAG|g52309.t1	0	7101	0
Av	NRPS	telo	AVAG00808	10568	35568	AVAG|g52309.t1	90	25000	0.0036
Av	NRPS	telo	AVAG00808	263	25263	AVAG|g52311.t1	66	25000	0.00264
Av	NRPS	telo	AVAG00808	31647	51675	AVAG|g52311.t1	18	20028	0.000898741761533853
Av	NRPS	telo	AVAG00835	0	11006	AVAG|g52643.t1	0	11006	0
Av	NRPS	telo	AVAG00835	15357	40357	AVAG|g52643.t1	66	25000	0.00264
Av	NRPS	telo	AVAG00852	0	24146	AVAG|g52850.t1	108	24146	0.00447279052431044
Av	NRPS	telo	AVAG00852	34662	45245	AVAG|g52850.t1	48	10583	0.00453557592365114
Av	NRPS	telo	AVAG00853	4521	29521	AVAG|g52852.t1	18	25000	0.00072
Av	NRPS	telo	AVAG00858	6613	31613	AVAG|g52905.t1	204	25000	0.00816
Av	NRPS	telo	AVAG00917	0	20659	AVAG|g53486.t1	30	20659	0.00145215160462752
Av	NRPS	telo	AVAG00917	31514	36961	AVAG|g53486.t1	12	5447	0.0022030475491096
Av	NRPS	telo	AVAG00955	0	20729	AVAG|g53785.t1	84	20729	0.00405229388779005
Av	NRPS	telo	AVAG01039	0	17225	AVAG|g54378.t1	30	17225	0.00174165457184325
Av	NRPS	telo	AVAG01072	0	5405	AVAG|g54567.t1	6	5405	0.00111008325624422
Av	NRPS	telo	AVAG01072	7823	21783	AVAG|g54567.t1	18	13960	0.00128939828080229
Av	NRPS	telo	AVAG01080	0	2095	AVAG|g54602.t1	6	2095	0.00286396181384248
Av	NRPS	telo	AVAG01080	14199	21090	AVAG|g54602.t1	30	6891	0.0043535045711798
Av	NRPS	telo	AVAG01102	14060	19656	AVAG|g54690.t1	6	5596	0.00107219442458899
Av	NRPS	telo	AVAG01213	8669	14781	AVAG|g55121.t1	12	6112	0.00196335078534031
Av	NRPS	telo	AVAG01296	0	7072	AVAG|g55383.t1	96	7072	0.0135746606334842
Av	NRPS	telo	AVAG01346	6132	10971	AVAG|g55510.t1	0	4839	0
Av	NRPS	telo	AVAG00024	631799	656799	AVAG|g6186.t1	54	25000	0.00216
Av	NRPS	telo	AVAG00024	669042	694042	AVAG|g6186.t1	54	25000	0.00216
Av	NRPS	telo	AVAG00024	648245	673245	AVAG|g6187.t1	36	25000	0.00144
Av	NRPS	telo	AVAG00024	681423	706423	AVAG|g6187.t1	48	25000	0.00192
Av	NRPS	telo	AVAG00024	663295	688295	AVAG|g6188.t1	48	25000	0.00192
Av	NRPS	telo	AVAG00024	690859	715859	AVAG|g6188.t1	42	25000	0.00168
Av	NRPS	telo	AVAG00033	619747	644747	AVAG|g8030.t1	180	25000	0.0072
Av	NRPS	telo	AVAG00033	653059	666608	AVAG|g8030.t1	24	13549	0.00177134843899919
Av	NRPS	telo	AVAG00033	628104	653104	AVAG|g8031.t1	126	25000	0.00504
Av	NRPS	telo	AVAG00033	655890	666608	AVAG|g8031.t1	24	10718	0.0022392237357716
