# BUSCO version is: 3.0.2 
# The lineage dataset is: eukaryota_odb9 (Creation date: 2016-11-02, number of species: 100, number of BUSCOs: 303)
# To reproduce this run: python /rds/general/user/rnowell/home/anaconda3/envs/busco/bin/run_BUSCO.py -i nAv.flot_genomic.fna -o eukaryota_nAv.flot_genomic.fna -l /rds/general/user/rnowell/home/anaconda3/envs/busco/opt/eukaryota_odb9/ -m genome -c 16 -t /rds/general/user/rnowell/ephemeral/ -sp fly
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG093702PE	Duplicated	AVAG00072	269589	275389	245.0	605
EOG093702PE	Duplicated	AVAG00168	289251	295005	230.3	571
EOG0937033T	Duplicated	AVAG00207	5630	13308	565.2	474
EOG0937033T	Duplicated	AVAG00256	87581	95625	562.1	471
EOG0937033T	Duplicated	AVAG00331	114435	121246	563.0	506
EOG0937036L	Complete	AVAG00060	232868	241942	532.2	596
EOG093703C8	Complete	AVAG00009	707939	710879	794.3	482
EOG093703DY	Duplicated	AVAG00056	144521	150186	294.9	428
EOG093703DY	Duplicated	AVAG00066	288257	294720	294.9	428
EOG093703N5	Duplicated	AVAG00072	73963	80803	188.5	296
EOG093703N5	Duplicated	AVAG00168	102090	108930	190.0	305
EOG093703UX	Fragmented	AVAG00764	34202	35112	67.7	200
EOG093703W1	Duplicated	AVAG00076	238551	247355	545.1	612
EOG093703W1	Duplicated	AVAG00276	161485	170249	538.5	612
EOG093703WD	Duplicated	AVAG00170	239866	247228	609.6	566
EOG093703WD	Duplicated	AVAG00247	55132	62506	540.7	564
EOG093703YA	Duplicated	AVAG00006	797678	805679	752.9	551
EOG093703YA	Duplicated	AVAG00035	217501	224427	753.1	554
EOG0937049Y	Complete	AVAG00263	58340	65379	128.3	395
EOG093704GD	Complete	AVAG00006	317649	321833	419.4	424
EOG093704HC	Duplicated	AVAG00005	750440	756006	717.5	396
EOG093704HC	Duplicated	AVAG00018	250024	255924	718.9	396
EOG093704J7	Duplicated	AVAG00073	228204	237071	830.8	572
EOG093704J7	Duplicated	AVAG00207	269544	274771	830.4	572
EOG093704Q0	Duplicated	AVAG00053	492529	501094	383.4	448
EOG093704Q0	Duplicated	AVAG00398	1	3005	388.1	436
EOG093704UY	Duplicated	AVAG00025	478460	482372	500.7	604
EOG093704UY	Duplicated	AVAG00193	181562	190453	497.7	571
EOG0937050C	Duplicated	AVAG00025	327442	331477	529.6	674
EOG0937050C	Duplicated	AVAG00330	25842	29893	528.7	674
EOG093705DM	Complete	AVAG00161	208277	214411	373.9	286
EOG093705E5	Complete	AVAG00046	374905	380127	494.2	502
EOG093705EY	Duplicated	AVAG00090	64686	71885	625.2	465
EOG093705EY	Duplicated	AVAG00095	34741	41243	623.4	465
EOG093705KN	Duplicated	AVAG00066	27461	34611	460.2	412
EOG093705KN	Duplicated	AVAG00932	27933	34684	460.7	414
EOG093705U4	Duplicated	AVAG00030	502307	504647	210.4	192
EOG093705U4	Duplicated	AVAG00066	502000	507989	208.3	192
EOG093705VV	Duplicated	AVAG00265	65733	68511	529.4	387
EOG093705VV	Duplicated	AVAG00616	66915	73511	602.7	421
EOG093705YA	Duplicated	AVAG00026	632158	637795	751.8	540
EOG093705YA	Duplicated	AVAG00452	125094	133553	806.3	534
EOG093705YE	Duplicated	AVAG00144	308147	316116	179.7	297
EOG093705YE	Duplicated	AVAG00690	96	11510	187.7	296
EOG093705Z6	Duplicated	AVAG00166	159577	162123	896.4	463
EOG093705Z6	Duplicated	AVAG00424	55839	59133	896.0	463
EOG0937060I	Duplicated	AVAG00020	682504	690967	917.8	734
EOG0937060I	Duplicated	AVAG00053	63558	71144	916.7	732
EOG0937066G	Duplicated	AVAG00048	201263	207599	623.2	435
EOG0937066G	Duplicated	AVAG00199	211889	220353	600.5	412
EOG0937066G	Duplicated	AVAG00278	204703	212143	623.9	435
EOG0937068H	Complete	AVAG00013	711895	719432	390.9	441
EOG093706PM	Duplicated	AVAG00104	217799	225037	363.6	335
EOG093706PM	Duplicated	AVAG00173	139863	147100	363.2	338
EOG093706RN	Duplicated	AVAG00190	157074	161638	374.6	523
EOG093706RN	Duplicated	AVAG00192	129420	137519	430.9	589
EOG093706X0	Duplicated	AVAG00018	708779	715518	345.0	409
EOG093706X0	Duplicated	AVAG00152	144634	151307	336.9	358
EOG09370762	Duplicated	AVAG00060	11975	16160	817.6	487
EOG09370762	Duplicated	AVAG00079	377026	381012	830.4	487
EOG09370762	Duplicated	AVAG00118	350946	355137	815.8	487
EOG093707B7	Duplicated	AVAG00029	198789	207274	295.0	381
EOG093707B7	Duplicated	AVAG00280	156662	165144	294.1	380
EOG093707HK	Duplicated	AVAG00021	317048	324617	421.9	522
EOG093707HK	Duplicated	AVAG00744	22828	30056	418.3	469
EOG093707LO	Duplicated	AVAG00074	399574	400679	194.2	257
EOG093707LO	Duplicated	AVAG00618	37508	38613	195.0	257
EOG093707RF	Complete	AVAG00097	181104	184821	494.1	547
EOG093707VN	Duplicated	AVAG00111	262217	265405	454.1	582
EOG093707VN	Duplicated	AVAG00257	73344	76614	455.0	580
EOG093707VQ	Duplicated	AVAG00013	748072	755016	478.3	567
EOG093707VQ	Duplicated	AVAG00229	23150	27388	458.0	548
EOG093707VQ	Duplicated	AVAG00561	31503	36755	482.1	598
EOG0937084T	Complete	AVAG00586	98707	100320	146.5	268
EOG0937085E	Duplicated	AVAG00141	93893	98613	483.8	381
EOG0937085E	Duplicated	AVAG00243	170573	177754	495.0	393
EOG093708IM	Duplicated	AVAG00027	571726	575726	458.8	382
EOG093708IM	Duplicated	AVAG00036	193596	198412	459.6	379
EOG093708OP	Duplicated	AVAG00021	730684	735379	634.9	360
EOG093708OP	Duplicated	AVAG00120	287618	292077	634.9	360
EOG093708TP	Duplicated	AVAG00011	400320	402629	371.6	416
EOG093708TP	Duplicated	AVAG00082	402000	404308	373.0	422
EOG093708TP	Duplicated	AVAG00307	10536	13033	373.2	410
EOG0937091Y	Duplicated	AVAG00218	167997	184943	738.3	528
EOG0937091Y	Duplicated	AVAG00527	1	2805	704.7	505
EOG0937092T	Complete	AVAG00263	231996	234543	135.2	375
EOG0937092W	Complete	AVAG00084	293718	297067	445.6	497
EOG093709BZ	Complete	AVAG00108	102931	109787	644.1	457
EOG093709HP	Complete	AVAG00125	93958	104575	396.1	364
EOG093709JG	Duplicated	AVAG00039	387123	393619	302.1	365
EOG093709JG	Duplicated	AVAG00301	166615	172254	307.8	357
EOG09370A22	Complete	AVAG00851	17176	27460	447.9	385
EOG09370ADO	Duplicated	AVAG00014	41066	46125	568.0	366
EOG09370ADO	Duplicated	AVAG00058	217389	222101	563.7	364
EOG09370ADO	Duplicated	AVAG00422	39451	44501	568.0	366
EOG09370AI8	Complete	AVAG00027	215136	225049	192.9	208
EOG09370AJP	Duplicated	AVAG00005	808817	812951	608.5	398
EOG09370AJP	Duplicated	AVAG00018	178404	182559	606.3	398
EOG09370AJP	Duplicated	AVAG00322	110319	118064	611.5	397
EOG09370AL3	Duplicated	AVAG00100	408261	413453	390.1	347
EOG09370AL3	Duplicated	AVAG00136	185912	189878	385.9	348
EOG09370AL3	Duplicated	AVAG00318	166680	171754	389.9	347
EOG09370ARO	Duplicated	AVAG00166	129373	136043	292.7	302
EOG09370ARO	Duplicated	AVAG00424	26793	34717	287.0	298
EOG09370AS9	Duplicated	AVAG00114	292961	299005	216.6	293
EOG09370AS9	Duplicated	AVAG01023	424	3706	225.9	264
EOG09370AV1	Duplicated	AVAG00165	107083	113081	441.2	354
EOG09370AV1	Duplicated	AVAG00348	82035	88060	441.2	354
EOG09370AWB	Duplicated	AVAG00187	103536	105242	382.1	346
EOG09370AWB	Duplicated	AVAG00388	93569	95285	383.7	346
EOG09370AWB	Duplicated	AVAG00534	17931	19819	391.3	337
EOG09370B1L	Duplicated	AVAG00025	120820	123417	447.2	407
EOG09370B1L	Duplicated	AVAG00061	282764	287241	454.1	402
EOG09370B1L	Duplicated	AVAG00336	98028	101627	447.3	408
EOG09370B65	Complete	AVAG00001	642950	653519	151.6	225
EOG09370B7D	Complete	AVAG00240	173505	180103	285.9	216
EOG09370BBR	Complete	AVAG00268	99939	110282	521.3	338
EOG09370BGO	Duplicated	AVAG00207	7698	16539	159.8	238
EOG09370BGO	Duplicated	AVAG00256	84731	93566	159.3	238
EOG09370BJE	Duplicated	AVAG00074	447950	457464	387.7	287
EOG09370BJE	Duplicated	AVAG00901	8508	15313	384.1	315
EOG09370BK5	Complete	AVAG00097	176144	181013	308.3	490
EOG09370BQO	Duplicated	AVAG00004	415752	422256	166.9	197
EOG09370BQO	Duplicated	AVAG00341	173584	179830	167.4	197
EOG09370BYX	Complete	AVAG00182	161724	166402	322.3	255
EOG09370C5A	Duplicated	AVAG00075	14165	22391	232.3	428
EOG09370C5A	Duplicated	AVAG00090	298120	305978	233.5	377
EOG09370CAN	Duplicated	AVAG00050	524711	528688	339.0	380
EOG09370CAN	Duplicated	AVAG00101	184755	188727	337.3	374
EOG09370CAV	Duplicated	AVAG00022	530744	535036	481.3	466
EOG09370CAV	Duplicated	AVAG00173	88830	93128	529.0	515
EOG09370CF1	Duplicated	AVAG00106	377063	385177	106.0	130
EOG09370CF1	Duplicated	AVAG00140	158655	165431	104.2	126
EOG09370CIV	Duplicated	AVAG00462	78871	86104	251.5	200
EOG09370CIV	Duplicated	AVAG00783	27648	34611	253.6	200
EOG09370CK6	Complete	AVAG00359	24870	26367	142.5	240
EOG09370CKL	Duplicated	AVAG00056	225740	231435	258.2	230
EOG09370CKL	Duplicated	AVAG00066	208706	214954	257.8	228
EOG09370CKL	Duplicated	AVAG00265	196502	199314	259.1	228
EOG09370CRF	Duplicated	AVAG00133	171722	175062	507.6	362
EOG09370CRF	Duplicated	AVAG00134	220235	222286	461.7	362
EOG09370CTU	Duplicated	AVAG00024	125105	128263	439.0	363
EOG09370CTU	Duplicated	AVAG00105	306625	310623	447.4	363
EOG09370CTU	Duplicated	AVAG00142	97565	104956	449.1	363
EOG09370CZ0	Duplicated	AVAG00002	466034	470716	236.4	283
EOG09370CZ0	Duplicated	AVAG00026	169768	177114	224.7	237
EOG09370CZ0	Duplicated	AVAG00333	58909	66089	224.2	236
EOG09370CZT	Duplicated	AVAG00098	88667	96307	157.7	256
EOG09370CZT	Duplicated	AVAG00153	95340	103447	150.7	151
EOG09370D13	Duplicated	AVAG00053	199849	208265	491.3	456
EOG09370D13	Duplicated	AVAG00302	22851	28961	493.8	456
EOG09370D13	Duplicated	AVAG00380	141795	147337	495.8	455
EOG09370DO5	Duplicated	AVAG00048	294085	300218	165.8	249
EOG09370DO5	Duplicated	AVAG00389	123161	130891	189.9	227
EOG09370DP4	Duplicated	AVAG00090	36385	41833	286.5	311
EOG09370DP4	Duplicated	AVAG00095	6909	13755	286.7	306
EOG09370DS4	Duplicated	AVAG00003	400999	405647	73.9	135
EOG09370DS4	Duplicated	AVAG00061	104931	108052	69.4	175
EOG09370DTG	Complete	AVAG00244	62709	68044	285.5	407
EOG09370DV4	Duplicated	AVAG00242	197686	201008	349.0	296
EOG09370DV4	Duplicated	AVAG00541	72180	80244	304.7	296
EOG09370DX4	Duplicated	AVAG00003	453440	458415	193.8	197
EOG09370DX4	Duplicated	AVAG00061	52280	53315	201.7	199
EOG09370DXT	Duplicated	AVAG00060	157691	161031	141.9	209
EOG09370DXT	Duplicated	AVAG00217	5986	10630	139.8	289
EOG09370DYK	Duplicated	AVAG00106	383864	390799	211.9	215
EOG09370DYK	Duplicated	AVAG00140	151788	158753	212.6	215
EOG09370E0Y	Complete	AVAG00986	13510	19777	533.6	332
EOG09370E36	Complete	AVAG00032	201123	207575	160.3	228
EOG09370E4U	Duplicated	AVAG00042	67849	78598	301.5	271
EOG09370E4U	Duplicated	AVAG00296	186452	194669	296.1	246
EOG09370E4W	Duplicated	AVAG00127	179400	184319	352.0	255
EOG09370E4W	Duplicated	AVAG00150	168013	178282	343.2	252
EOG09370E8S	Duplicated	AVAG00011	368072	373559	308.4	297
EOG09370E8S	Duplicated	AVAG00082	429292	434711	307.5	290
EOG09370EHZ	Complete	AVAG00261	167918	174046	357.2	355
EOG09370EL3	Duplicated	AVAG00005	763958	774567	221.9	273
EOG09370EL3	Duplicated	AVAG00018	233685	240341	221.2	273
EOG09370ER5	Duplicated	AVAG00026	436910	445975	330.8	375
EOG09370ER5	Duplicated	AVAG00114	188465	199309	325.3	351
EOG09370F1Q	Complete	AVAG00417	114752	123260	107.7	191
EOG09370F3T	Duplicated	AVAG00059	492232	495461	143.3	207
EOG09370F3T	Duplicated	AVAG00121	71941	75191	143.9	207
EOG09370F47	Duplicated	AVAG00033	91849	93897	461.9	270
EOG09370F47	Duplicated	AVAG00250	114158	120547	461.9	270
EOG09370FKI	Complete	AVAG00316	13953	24103	271.3	501
EOG09370FLD	Duplicated	AVAG00012	279782	283036	434.3	323
EOG09370FLD	Duplicated	AVAG00134	347571	350014	434.1	323
EOG09370FN1	Duplicated	AVAG00019	717472	728403	457.5	282
EOG09370FN1	Duplicated	AVAG00087	339572	348145	453.5	282
EOG09370FN1	Duplicated	AVAG00666	42390	50584	453.7	282
EOG09370FSS	Duplicated	AVAG00200	281572	283651	299.0	302
EOG09370FSS	Duplicated	AVAG01030	8870	10948	299.0	302
EOG09370FVX	Duplicated	AVAG00048	165864	175898	327.0	297
EOG09370FVX	Duplicated	AVAG00278	169840	179904	327.0	297
EOG09370FWQ	Duplicated	AVAG00006	814610	819106	501.7	312
EOG09370FWQ	Duplicated	AVAG00035	223708	230526	510.2	312
EOG09370FWQ	Duplicated	AVAG00555	90747	94950	509.7	312
EOG09370FXE	Fragmented	AVAG00030	302003	306674	89.0	89
EOG09370GC2	Missing
EOG09370GEO	Duplicated	AVAG00166	246156	248332	132.0	204
EOG09370GEO	Duplicated	AVAG00417	1967	4134	132.8	204
EOG09370GHM	Duplicated	AVAG00026	647165	650341	79.0	200
EOG09370GHM	Duplicated	AVAG00114	376166	381148	77.5	197
EOG09370GHP	Duplicated	AVAG00450	2297	12960	195.0	260
EOG09370GHP	Duplicated	AVAG01010	5232	12669	196.4	246
EOG09370GIK	Complete	AVAG00048	233404	241171	344.9	219
EOG09370GJ7	Duplicated	AVAG00065	123446	131801	404.1	346
EOG09370GJ7	Duplicated	AVAG00387	19742	25947	404.0	346
EOG09370GK0	Duplicated	AVAG00001	314116	317250	265.2	285
EOG09370GK0	Duplicated	AVAG00094	296071	299206	258.6	264
EOG09370H3E	Duplicated	AVAG00209	166867	170417	356.6	259
EOG09370H3E	Duplicated	AVAG00365	2696	6256	356.8	260
EOG09370H68	Duplicated	AVAG00044	332143	339868	165.7	204
EOG09370H68	Duplicated	AVAG00232	97396	104553	165.3	204
EOG09370HBN	Duplicated	AVAG00042	534590	538531	309.1	356
EOG09370HBN	Duplicated	AVAG00078	586	4827	308.3	357
EOG09370HD7	Duplicated	AVAG00057	540649	542728	351.9	298
EOG09370HD7	Duplicated	AVAG00170	180358	183464	352.9	299
EOG09370HD7	Duplicated	AVAG00341	131001	136165	351.6	298
EOG09370HKV	Duplicated	AVAG00004	63115	71074	465.2	327
EOG09370HKV	Duplicated	AVAG00108	161061	171664	463.9	358
EOG09370HVI	Duplicated	AVAG00104	149135	156226	161.8	163
EOG09370HVI	Duplicated	AVAG00173	205140	210784	160.1	151
EOG09370I3J	Duplicated	AVAG00003	297659	307459	208.4	190
EOG09370I3J	Duplicated	AVAG00061	205446	215240	212.3	227
EOG09370I7R	Duplicated	AVAG00041	306409	310869	397.0	275
EOG09370I7R	Duplicated	AVAG00184	247217	251795	397.0	275
EOG09370IF5	Complete	AVAG00009	471499	476895	306.1	275
EOG09370IH5	Complete	AVAG00009	174708	183827	278.3	237
EOG09370IMU	Complete	AVAG00156	115192	118516	147.4	175
EOG09370INZ	Complete	AVAG00255	7694	14534	181.2	244
EOG09370IUA	Complete	AVAG00154	239746	245903	366.9	226
EOG09370J9L	Duplicated	AVAG00029	250188	255460	178.9	224
EOG09370J9L	Duplicated	AVAG00280	208596	213992	179.4	225
EOG09370JIK	Complete	AVAG00006	653763	661271	262.6	208
EOG09370JW6	Duplicated	AVAG00012	452093	457491	65.1	119
EOG09370JW6	Duplicated	AVAG00134	177229	180076	61.3	120
EOG09370JZ3	Complete	AVAG00054	355392	362512	209.6	195
EOG09370K15	Duplicated	AVAG00095	381307	391656	170.5	153
EOG09370K15	Duplicated	AVAG00108	259215	269007	168.8	172
EOG09370K1R	Duplicated	AVAG00242	193376	203381	220.5	211
EOG09370K1R	Duplicated	AVAG00541	67832	75393	221.2	211
EOG09370KD4	Duplicated	AVAG00110	202920	209618	383.6	249
EOG09370KD4	Duplicated	AVAG00601	71840	78669	383.7	249
EOG09370KGV	Fragmented	AVAG00006	517156	521396	43.2	58
EOG09370KJ3	Duplicated	AVAG00222	165446	173434	191.5	180
EOG09370KJ3	Duplicated	AVAG00697	27324	30359	193.8	181
EOG09370KM9	Complete	AVAG00043	513128	519512	95.2	308
EOG09370KOV	Duplicated	AVAG00078	171780	173643	158.4	164
EOG09370KOV	Duplicated	AVAG01038	9551	11409	158.4	164
EOG09370KWF	Duplicated	AVAG00176	87959	93300	142.8	194
EOG09370KWF	Duplicated	AVAG00246	173506	176096	149.2	200
EOG09370KYZ	Duplicated	AVAG00166	223950	232087	305.9	199
EOG09370KYZ	Duplicated	AVAG00818	11947	19843	305.2	199
EOG09370L23	Complete	AVAG00490	90275	92670	286.2	216
EOG09370L77	Complete	AVAG00173	162346	165153	124.2	237
EOG09370LFI	Duplicated	AVAG00190	103545	105047	392.1	267
EOG09370LFI	Duplicated	AVAG00192	85117	86621	392.1	267
EOG09370LGH	Duplicated	AVAG00144	112825	120180	315.1	291
EOG09370LGH	Duplicated	AVAG00151	235439	242776	314.9	291
EOG09370LMP	Duplicated	AVAG00047	147432	154756	326.2	305
EOG09370LMP	Duplicated	AVAG00386	27297	28611	293.3	258
EOG09370LQ2	Duplicated	AVAG00044	426774	431470	101.4	234
EOG09370LQ2	Duplicated	AVAG00232	8080	12358	101.3	223
EOG09370LYY	Duplicated	AVAG00092	250737	257544	275.6	367
EOG09370LYY	Duplicated	AVAG00611	72357	76958	275.6	367
EOG09370M9E	Duplicated	AVAG00025	640981	641819	278.3	203
EOG09370M9E	Duplicated	AVAG00041	394214	395052	278.3	203
EOG09370MAO	Duplicated	AVAG00060	154303	157447	260.3	214
EOG09370MAO	Duplicated	AVAG00079	162268	165354	294.1	230
EOG09370MAO	Duplicated	AVAG00212	191540	194646	294.0	230
EOG09370MDU	Complete	AVAG00126	113670	121244	180.2	182
EOG09370MGF	Complete	AVAG00125	56373	66687	150.3	195
EOG09370MHI	Complete	AVAG00024	187639	191247	229.1	254
EOG09370MMK	Complete	AVAG00064	316251	317220	352.7	238
EOG09370MQ0	Duplicated	AVAG00056	372384	378088	245.0	202
EOG09370MQ0	Duplicated	AVAG00066	70857	77738	249.8	202
EOG09370MZ4	Duplicated	AVAG00007	766333	773404	391.2	226
EOG09370MZ4	Duplicated	AVAG00069	399043	402123	392.3	226
EOG09370MZ4	Duplicated	AVAG00507	106581	113649	391.2	226
EOG09370N7W	Duplicated	AVAG00109	325323	328953	424.6	286
EOG09370N7W	Duplicated	AVAG01008	6605	10090	425.0	286
EOG09370NBT	Complete	AVAG00156	234037	237338	266.0	242
EOG09370NBW	Complete	AVAG00231	254385	260432	163.0	223
EOG09370NHX	Duplicated	AVAG00048	542853	549080	169.0	164
EOG09370NHX	Duplicated	AVAG00109	275016	278319	167.9	159
EOG09370NIG	Complete	AVAG00061	121936	123279	98.6	132
EOG09370O06	Duplicated	AVAG00201	66511	69392	213.7	194
EOG09370O06	Duplicated	AVAG00687	16334	22458	213.7	194
EOG09370O51	Duplicated	AVAG00342	33786	42029	246.3	196
EOG09370O51	Duplicated	AVAG00774	1676	7005	246.3	196
EOG09370OFR	Duplicated	AVAG00002	534932	543798	198.0	265
EOG09370OFR	Duplicated	AVAG00119	179465	188147	203.1	224
EOG09370OGU	Duplicated	AVAG00023	649403	655863	158.8	172
EOG09370OGU	Duplicated	AVAG00057	105736	109212	160.7	172
EOG09370OGW	Duplicated	AVAG00345	111848	115438	147.3	163
EOG09370OGW	Duplicated	AVAG00464	110081	113674	147.3	163
EOG09370OHP	Complete	AVAG00263	102640	104340	268.0	204
EOG09370OLY	Duplicated	AVAG00049	116511	121127	192.2	165
EOG09370OLY	Duplicated	AVAG00198	131881	136513	190.7	141
EOG09370OO3	Duplicated	AVAG00008	181039	182462	256.0	195
EOG09370OO3	Duplicated	AVAG00413	53036	54915	254.5	195
EOG09370OS5	Duplicated	AVAG00289	175327	177193	138.6	149
EOG09370OS5	Duplicated	AVAG00360	6582	8444	138.6	149
EOG09370OUS	Complete	AVAG00211	79001	85664	238.5	226
EOG09370P2W	Complete	AVAG00060	54185	61332	97.3	114
EOG09370P5Q	Complete	AVAG00029	468288	473833	183.8	195
EOG09370P7I	Complete	AVAG00009	16601	17446	92.3	162
EOG09370P9T	Duplicated	AVAG00025	417301	420768	450.8	338
EOG09370P9T	Duplicated	AVAG00025	424755	427464	450.1	339
EOG09370PBD	Duplicated	AVAG00060	502327	507715	360.1	221
EOG09370PBD	Duplicated	AVAG00158	156792	162054	358.8	221
EOG09370PBD	Duplicated	AVAG00235	109086	110366	361.7	221
EOG09370PLC	Duplicated	AVAG00079	307807	312543	281.4	218
EOG09370PLC	Duplicated	AVAG01140	15099	16540	282.5	224
EOG09370PN3	Duplicated	AVAG00345	96641	104732	89.1	154
EOG09370PN3	Duplicated	AVAG00464	94886	102949	86.1	143
EOG09370PYJ	Duplicated	AVAG00135	366430	371889	317.9	215
EOG09370PYJ	Duplicated	AVAG00540	96377	100971	317.9	215
EOG09370QBK	Complete	AVAG00009	330939	335115	127.1	178
EOG09370QBR	Duplicated	AVAG00042	528263	530119	272.0	240
EOG09370QBR	Duplicated	AVAG00635	79826	81683	272.2	240
EOG09370QCX	Duplicated	AVAG00006	912153	915934	123.5	115
EOG09370QCX	Duplicated	AVAG00035	402403	409221	128.2	109
EOG09370QCX	Duplicated	AVAG00116	19772	27918	127.8	109
EOG09370QFD	Duplicated	AVAG00036	74830	77978	117.0	153
EOG09370QFD	Duplicated	AVAG00245	154934	161530	115.9	147
EOG09370QI4	Duplicated	AVAG00027	51024	59362	141.8	168
EOG09370QI4	Duplicated	AVAG00091	221918	228955	140.4	168
EOG09370QJ1	Complete	AVAG00009	16162	20616	272.8	178
EOG09370QKS	Duplicated	AVAG00016	643827	648378	217.0	152
EOG09370QKS	Duplicated	AVAG00222	115601	120018	215.8	153
EOG09370QKS	Duplicated	AVAG00346	3756	6765	215.8	153
EOG09370QMM	Duplicated	AVAG00029	472855	474637	157.9	207
EOG09370QMM	Duplicated	AVAG00565	22403	25709	157.1	208
EOG09370QT3	Duplicated	AVAG00048	578986	583913	73.7	81
EOG09370QT3	Duplicated	AVAG00109	298549	305352	75.8	86
EOG09370QVI	Duplicated	AVAG00056	280345	286036	274.2	217
EOG09370QVI	Duplicated	AVAG00066	157951	163864	274.1	218
EOG09370R3M	Complete	AVAG01115	3406	4902	233.5	183
EOG09370R67	Duplicated	AVAG00014	574912	579057	160.1	147
EOG09370R67	Duplicated	AVAG00130	76984	83538	160.0	160
EOG09370RCD	Duplicated	AVAG00029	167218	170853	239.6	345
EOG09370RCD	Duplicated	AVAG00280	125036	128666	234.4	302
EOG09370RCQ	Duplicated	AVAG00011	75555	82157	291.9	226
EOG09370RCQ	Duplicated	AVAG00089	306381	311586	293.4	193
EOG09370RCS	Complete	AVAG00064	180596	187644	186.6	161
EOG09370RIT	Duplicated	AVAG00099	353286	359964	281.0	135
EOG09370RIT	Duplicated	AVAG00773	11557	15320	281.5	135
EOG09370RJN	Duplicated	AVAG00014	202370	205526	346.2	300
EOG09370RJN	Duplicated	AVAG00471	63791	66920	346.3	300
EOG09370RRJ	Duplicated	AVAG00043	176845	178701	265.7	181
EOG09370RRJ	Duplicated	AVAG00084	240188	241588	266.4	159
EOG09370S0F	Duplicated	AVAG00043	312568	319451	140.0	118
EOG09370S0F	Duplicated	AVAG00115	395243	402246	140.1	118
EOG09370S1Z	Duplicated	AVAG00106	398609	405080	97.5	168
EOG09370S1Z	Duplicated	AVAG00140	137491	144038	99.9	175
EOG09370S3E	Duplicated	AVAG00153	261122	264951	125.1	169
EOG09370S3E	Duplicated	AVAG00206	161880	164426	125.1	169
EOG09370S4T	Duplicated	AVAG00107	263719	267908	170.8	130
EOG09370S4T	Duplicated	AVAG00204	171996	176188	170.5	130
EOG09370SC9	Duplicated	AVAG00008	358357	367677	94.9	140
EOG09370SC9	Duplicated	AVAG00176	259254	262452	93.5	139
EOG09370SO4	Duplicated	AVAG00122	383037	383915	30.1	72
EOG09370SO4	Duplicated	AVAG00578	94548	95423	29.7	100
EOG09370SON	Duplicated	AVAG00220	255414	260918	225.5	156
EOG09370SON	Duplicated	AVAG00468	77049	82553	225.4	156
EOG09370SPQ	Duplicated	AVAG00002	620791	628672	147.2	175
EOG09370SPQ	Duplicated	AVAG00119	272847	281404	149.7	183
