SPECIES	TYPE	FEATURE	SCAFFOLD	START	END	GID	SUM	WINDOW	SPAN
Av	BUSCO	telo	AVAG00158	70019	95019	EOG093701EE:Duplicated	0	25000	0
Av	BUSCO	telo	AVAG00060	419638	444638	EOG093701EE:Duplicated	6	25000	0.00024
Av	BUSCO	telo	AVAG00060	451412	476412	EOG093701EE:Duplicated	24	25000	0.00096
Av	BUSCO	telo	AVAG00158	105282	130282	EOG093701EE:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00224	190139	215139	EOG093701IQ:Duplicated	24	25000	0.00096
Av	BUSCO	telo	AVAG00224	226753	251753	EOG093701IQ:Duplicated	6	25000	0.00024
Av	BUSCO	telo	AVAG00227	15779	40779	EOG093701IQ:Duplicated	30	25000	0.0012
Av	BUSCO	telo	AVAG00227	50909	75909	EOG093701IQ:Duplicated	24	25000	0.00096
Av	BUSCO	telo	AVAG00294	133202	158202	EOG093701IQ:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00294	97468	122468	EOG093701IQ:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00049	324823	349823	EOG093701S0:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00049	356986	381986	EOG093701S0:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00803	0	24747	EOG093701S0:Duplicated	12	24747	0.000484907261486241
Av	BUSCO	telo	AVAG00803	33876	52139	EOG093701S0:Duplicated	12	18263	0.000657066199419592
Av	BUSCO	telo	AVAG00155	169084	194084	EOG093701SQ:Duplicated	474	25000	0.01896
Av	BUSCO	telo	AVAG00155	198163	223163	EOG093701SQ:Duplicated	228	25000	0.00912
Av	BUSCO	telo	AVAG00175	205157	230157	EOG093701SQ:Duplicated	36	25000	0.00144
Av	BUSCO	telo	AVAG00175	232863	257863	EOG093701SQ:Duplicated	60	25000	0.0024
Av	BUSCO	telo	AVAG00370	114305	139305	EOG093701SQ:Duplicated	36	25000	0.00144
Av	BUSCO	telo	AVAG00370	147700	171554	EOG093701SQ:Duplicated	174	23854	0.00729437410916408
Av	BUSCO	telo	AVAG00135	185972	210972	EOG093701V7:Duplicated	36	25000	0.00144
Av	BUSCO	telo	AVAG00135	216700	241700	EOG093701V7:Duplicated	36	25000	0.00144
Av	BUSCO	telo	AVAG00293	41805	66805	EOG093701V7:Duplicated	36	25000	0.00144
Av	BUSCO	telo	AVAG00293	74395	99395	EOG093701V7:Duplicated	36	25000	0.00144
Av	BUSCO	telo	AVAG00186	26306	51306	EOG0937029K:Complete	48	25000	0.00192
Av	BUSCO	telo	AVAG00186	54619	79619	EOG0937029K:Complete	12	25000	0.00048
Av	BUSCO	telo	AVAG00093	240723	265723	EOG093702AT:Duplicated	0	25000	0
Av	BUSCO	telo	AVAG00008	758928	783928	EOG093702AT:Duplicated	12	25000	0.00048
Av	BUSCO	telo	AVAG00008	788629	813629	EOG093702AT:Duplicated	24	25000	0.00096
Av	BUSCO	telo	AVAG00093	211025	236025	EOG093702AT:Duplicated	30	25000	0.0012
Av	BUSCO	telo	AVAG00851	44095	45252	EOG093702DP:Duplicated	0	1157	0
Av	BUSCO	telo	AVAG00191	223280	248280	EOG093702DP:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00191	251628	276628	EOG093702DP:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00851	15743	40743	EOG093702DP:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00067	148122	173122	EOG093702MJ:Duplicated	0	25000	0
Av	BUSCO	telo	AVAG01219	0	1566	EOG093702MJ:Duplicated	0	1566	0
Av	BUSCO	telo	AVAG01219	11059	14693	EOG093702MJ:Duplicated	0	3634	0
Av	BUSCO	telo	AVAG00067	113568	138568	EOG093702MJ:Duplicated	48	25000	0.00192
Av	BUSCO	telo	AVAG00072	244589	269589	EOG093702PE:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00072	275389	300389	EOG093702PE:Duplicated	24	25000	0.00096
Av	BUSCO	telo	AVAG00168	264251	289251	EOG093702PE:Duplicated	12	25000	0.00048
Av	BUSCO	telo	AVAG00168	295005	320005	EOG093702PE:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00256	62581	87581	EOG0937033T:Duplicated	0	25000	0
Av	BUSCO	telo	AVAG00207	0	5630	EOG0937033T:Duplicated	18	5630	0.00319715808170515
Av	BUSCO	telo	AVAG00207	13308	38308	EOG0937033T:Duplicated	6	25000	0.00024
Av	BUSCO	telo	AVAG00256	95625	120625	EOG0937033T:Duplicated	36	25000	0.00144
Av	BUSCO	telo	AVAG00331	121246	146246	EOG0937033T:Duplicated	42	25000	0.00168
Av	BUSCO	telo	AVAG00331	89435	114435	EOG0937033T:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00060	207868	232868	EOG0937036L:Complete	18	25000	0.00072
Av	BUSCO	telo	AVAG00060	241942	266942	EOG0937036L:Complete	24	25000	0.00096
Av	BUSCO	telo	AVAG00009	682939	707939	EOG093703C8:Complete	54	25000	0.00216
Av	BUSCO	telo	AVAG00009	710879	735879	EOG093703C8:Complete	36	25000	0.00144
Av	BUSCO	telo	AVAG00056	119521	144521	EOG093703DY:Duplicated	6	25000	0.00024
Av	BUSCO	telo	AVAG00056	150186	175186	EOG093703DY:Duplicated	6	25000	0.00024
Av	BUSCO	telo	AVAG00066	263257	288257	EOG093703DY:Duplicated	6	25000	0.00024
Av	BUSCO	telo	AVAG00066	294720	319720	EOG093703DY:Duplicated	6	25000	0.00024
Av	BUSCO	telo	AVAG00072	48963	73963	EOG093703N5:Duplicated	30	25000	0.0012
Av	BUSCO	telo	AVAG00072	80803	105803	EOG093703N5:Duplicated	6	25000	0.00024
Av	BUSCO	telo	AVAG00168	108930	133930	EOG093703N5:Duplicated	6	25000	0.00024
Av	BUSCO	telo	AVAG00168	77090	102090	EOG093703N5:Duplicated	24	25000	0.00096
Av	BUSCO	telo	AVAG00764	35112	58935	EOG093703UX:Fragmented	12	23823	0.00050371489736809
Av	BUSCO	telo	AVAG00764	9202	34202	EOG093703UX:Fragmented	18	25000	0.00072
Av	BUSCO	telo	AVAG00076	213551	238551	EOG093703W1:Duplicated	6	25000	0.00024
Av	BUSCO	telo	AVAG00076	247355	272355	EOG093703W1:Duplicated	42	25000	0.00168
Av	BUSCO	telo	AVAG00276	136485	161485	EOG093703W1:Duplicated	12	25000	0.00048
Av	BUSCO	telo	AVAG00276	170249	195249	EOG093703W1:Duplicated	36	25000	0.00144
Av	BUSCO	telo	AVAG00170	214866	239866	EOG093703WD:Duplicated	24	25000	0.00096
Av	BUSCO	telo	AVAG00170	247228	272228	EOG093703WD:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00247	30132	55132	EOG093703WD:Duplicated	42	25000	0.00168
Av	BUSCO	telo	AVAG00247	62506	87506	EOG093703WD:Duplicated	30	25000	0.0012
Av	BUSCO	telo	AVAG00006	772678	797678	EOG093703YA:Duplicated	30	25000	0.0012
Av	BUSCO	telo	AVAG00006	805679	830679	EOG093703YA:Duplicated	24	25000	0.00096
Av	BUSCO	telo	AVAG00035	192501	217501	EOG093703YA:Duplicated	6	25000	0.00024
Av	BUSCO	telo	AVAG00035	224427	249427	EOG093703YA:Duplicated	54	25000	0.00216
Av	BUSCO	telo	AVAG00263	33340	58340	EOG0937049Y:Complete	18	25000	0.00072
Av	BUSCO	telo	AVAG00263	65379	90379	EOG0937049Y:Complete	30	25000	0.0012
Av	BUSCO	telo	AVAG00006	292649	317649	EOG093704GD:Complete	12	25000	0.00048
Av	BUSCO	telo	AVAG00006	321833	346833	EOG093704GD:Complete	6	25000	0.00024
Av	BUSCO	telo	AVAG00005	725440	750440	EOG093704HC:Duplicated	24	25000	0.00096
Av	BUSCO	telo	AVAG00005	756006	781006	EOG093704HC:Duplicated	30	25000	0.0012
Av	BUSCO	telo	AVAG00018	225024	250024	EOG093704HC:Duplicated	24	25000	0.00096
Av	BUSCO	telo	AVAG00018	255924	280924	EOG093704HC:Duplicated	30	25000	0.0012
Av	BUSCO	telo	AVAG00073	203204	228204	EOG093704J7:Duplicated	6	25000	0.00024
Av	BUSCO	telo	AVAG00073	237071	262071	EOG093704J7:Duplicated	12	25000	0.00048
Av	BUSCO	telo	AVAG00207	244544	269544	EOG093704J7:Duplicated	12	25000	0.00048
Av	BUSCO	telo	AVAG00207	274771	290370	EOG093704J7:Duplicated	78	15599	0.00500032053336752
Av	BUSCO	telo	AVAG00053	467529	492529	EOG093704Q0:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00053	501094	526094	EOG093704Q0:Duplicated	42	25000	0.00168
Av	BUSCO	telo	AVAG00398	3005	28005	EOG093704Q0:Duplicated	60	25000	0.0024
Av	BUSCO	telo	AVAG00025	453460	478460	EOG093704UY:Duplicated	30	25000	0.0012
Av	BUSCO	telo	AVAG00025	482372	507372	EOG093704UY:Duplicated	24	25000	0.00096
Av	BUSCO	telo	AVAG00193	156562	181562	EOG093704UY:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00193	190453	215453	EOG093704UY:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00025	302442	327442	EOG0937050C:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00025	331477	356477	EOG0937050C:Duplicated	90	25000	0.0036
Av	BUSCO	telo	AVAG00330	29893	54893	EOG0937050C:Duplicated	30	25000	0.0012
Av	BUSCO	telo	AVAG00330	842	25842	EOG0937050C:Duplicated	96	25000	0.00384
Av	BUSCO	telo	AVAG00161	183277	208277	EOG093705DM:Complete	12	25000	0.00048
Av	BUSCO	telo	AVAG00161	214411	239411	EOG093705DM:Complete	30	25000	0.0012
Av	BUSCO	telo	AVAG00046	349905	374905	EOG093705E5:Complete	42	25000	0.00168
Av	BUSCO	telo	AVAG00046	380127	405127	EOG093705E5:Complete	66	25000	0.00264
Av	BUSCO	telo	AVAG00090	39686	64686	EOG093705EY:Duplicated	30	25000	0.0012
Av	BUSCO	telo	AVAG00090	71885	96885	EOG093705EY:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00095	41243	66243	EOG093705EY:Duplicated	72	25000	0.00288
Av	BUSCO	telo	AVAG00095	9741	34741	EOG093705EY:Duplicated	24	25000	0.00096
Av	BUSCO	telo	AVAG00066	2461	27461	EOG093705KN:Duplicated	6	25000	0.00024
Av	BUSCO	telo	AVAG00066	34611	59611	EOG093705KN:Duplicated	6	25000	0.00024
Av	BUSCO	telo	AVAG00932	2933	27933	EOG093705KN:Duplicated	12	25000	0.00048
Av	BUSCO	telo	AVAG00030	477307	502307	EOG093705U4:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00030	504647	529647	EOG093705U4:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00066	477000	502000	EOG093705U4:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00066	507989	519324	EOG093705U4:Duplicated	30	11335	0.00264666960741068
Av	BUSCO	telo	AVAG00265	40733	65733	EOG093705VV:Duplicated	24	25000	0.00096
Av	BUSCO	telo	AVAG00265	68511	93511	EOG093705VV:Duplicated	30	25000	0.0012
Av	BUSCO	telo	AVAG00616	41915	66915	EOG093705VV:Duplicated	24	25000	0.00096
Av	BUSCO	telo	AVAG00616	73511	91180	EOG093705VV:Duplicated	24	17669	0.00135831116644971
Av	BUSCO	telo	AVAG00452	133553	139572	EOG093705YA:Duplicated	0	6019	0
Av	BUSCO	telo	AVAG00026	607158	632158	EOG093705YA:Duplicated	60	25000	0.0024
Av	BUSCO	telo	AVAG00026	637795	662795	EOG093705YA:Duplicated	24	25000	0.00096
Av	BUSCO	telo	AVAG00452	100094	125094	EOG093705YA:Duplicated	6	25000	0.00024
Av	BUSCO	telo	AVAG00144	283147	308147	EOG093705YE:Duplicated	48	25000	0.00192
Av	BUSCO	telo	AVAG00144	316116	341116	EOG093705YE:Duplicated	6	25000	0.00024
Av	BUSCO	telo	AVAG00690	11510	36510	EOG093705YE:Duplicated	42	25000	0.00168
Av	BUSCO	telo	AVAG00166	134577	159577	EOG093705Z6:Duplicated	6	25000	0.00024
Av	BUSCO	telo	AVAG00166	162123	187123	EOG093705Z6:Duplicated	24	25000	0.00096
Av	BUSCO	telo	AVAG00424	30839	55839	EOG093705Z6:Duplicated	6	25000	0.00024
Av	BUSCO	telo	AVAG00424	59133	84133	EOG093705Z6:Duplicated	24	25000	0.00096
Av	BUSCO	telo	AVAG00020	657504	682504	EOG0937060I:Duplicated	66	25000	0.00264
Av	BUSCO	telo	AVAG00020	690967	715967	EOG0937060I:Duplicated	24	25000	0.00096
Av	BUSCO	telo	AVAG00053	38558	63558	EOG0937060I:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00053	71144	96144	EOG0937060I:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00048	176263	201263	EOG0937066G:Duplicated	66	25000	0.00264
Av	BUSCO	telo	AVAG00048	207599	232599	EOG0937066G:Duplicated	12	25000	0.00048
Av	BUSCO	telo	AVAG00199	186889	211889	EOG0937066G:Duplicated	12	25000	0.00048
Av	BUSCO	telo	AVAG00199	220353	245353	EOG0937066G:Duplicated	6	25000	0.00024
Av	BUSCO	telo	AVAG00278	179703	204703	EOG0937066G:Duplicated	60	25000	0.0024
Av	BUSCO	telo	AVAG00278	212143	223824	EOG0937066G:Duplicated	12	11681	0.00102730930571013
Av	BUSCO	telo	AVAG00013	686895	711895	EOG0937068H:Complete	18	25000	0.00072
Av	BUSCO	telo	AVAG00013	719432	744432	EOG0937068H:Complete	36	25000	0.00144
Av	BUSCO	telo	AVAG00104	192799	217799	EOG093706PM:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00104	225037	250037	EOG093706PM:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00173	114863	139863	EOG093706PM:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00173	147100	172100	EOG093706PM:Duplicated	12	25000	0.00048
Av	BUSCO	telo	AVAG00190	132074	157074	EOG093706RN:Duplicated	72	25000	0.00288
Av	BUSCO	telo	AVAG00190	161638	186638	EOG093706RN:Duplicated	12	25000	0.00048
Av	BUSCO	telo	AVAG00192	104420	129420	EOG093706RN:Duplicated	60	25000	0.0024
Av	BUSCO	telo	AVAG00192	137519	162519	EOG093706RN:Duplicated	12	25000	0.00048
Av	BUSCO	telo	AVAG00018	683779	708779	EOG093706X0:Duplicated	30	25000	0.0012
Av	BUSCO	telo	AVAG00018	715518	740518	EOG093706X0:Duplicated	48	25000	0.00192
Av	BUSCO	telo	AVAG00152	119634	144634	EOG093706X0:Duplicated	48	25000	0.00192
Av	BUSCO	telo	AVAG00152	151307	176307	EOG093706X0:Duplicated	12	25000	0.00048
Av	BUSCO	telo	AVAG00060	0	11975	EOG09370762:Duplicated	576	11975	0.0481002087682672
Av	BUSCO	telo	AVAG00060	16160	41160	EOG09370762:Duplicated	24	25000	0.00096
Av	BUSCO	telo	AVAG00079	352026	377026	EOG09370762:Duplicated	42	25000	0.00168
Av	BUSCO	telo	AVAG00079	381012	406012	EOG09370762:Duplicated	12	25000	0.00048
Av	BUSCO	telo	AVAG00118	325946	350946	EOG09370762:Duplicated	30	25000	0.0012
Av	BUSCO	telo	AVAG00118	355137	380137	EOG09370762:Duplicated	24	25000	0.00096
Av	BUSCO	telo	AVAG00029	173789	198789	EOG093707B7:Duplicated	42	25000	0.00168
Av	BUSCO	telo	AVAG00029	207274	232274	EOG093707B7:Duplicated	30	25000	0.0012
Av	BUSCO	telo	AVAG00280	131662	156662	EOG093707B7:Duplicated	42	25000	0.00168
Av	BUSCO	telo	AVAG00280	165144	190144	EOG093707B7:Duplicated	36	25000	0.00144
Av	BUSCO	telo	AVAG00021	292048	317048	EOG093707HK:Duplicated	84	25000	0.00336
Av	BUSCO	telo	AVAG00021	324617	349617	EOG093707HK:Duplicated	24	25000	0.00096
Av	BUSCO	telo	AVAG00744	0	22828	EOG093707HK:Duplicated	24	22828	0.00105134045908533
Av	BUSCO	telo	AVAG00744	30056	55056	EOG093707HK:Duplicated	54	25000	0.00216
Av	BUSCO	telo	AVAG00074	374574	399574	EOG093707LO:Duplicated	24	25000	0.00096
Av	BUSCO	telo	AVAG00074	400679	425679	EOG093707LO:Duplicated	24	25000	0.00096
Av	BUSCO	telo	AVAG00618	12508	37508	EOG093707LO:Duplicated	30	25000	0.0012
Av	BUSCO	telo	AVAG00618	38613	63613	EOG093707LO:Duplicated	108	25000	0.00432
Av	BUSCO	telo	AVAG00097	156104	181104	EOG093707RF:Complete	42	25000	0.00168
Av	BUSCO	telo	AVAG00097	184821	209821	EOG093707RF:Complete	12	25000	0.00048
Av	BUSCO	telo	AVAG00111	237217	262217	EOG093707VN:Duplicated	78	25000	0.00312
Av	BUSCO	telo	AVAG00111	265405	290405	EOG093707VN:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00257	48344	73344	EOG093707VN:Duplicated	78	25000	0.00312
Av	BUSCO	telo	AVAG00257	76614	101614	EOG093707VN:Duplicated	6	25000	0.00024
Av	BUSCO	telo	AVAG00229	27388	52388	EOG093707VQ:Duplicated	0	25000	0
Av	BUSCO	telo	AVAG00013	723072	748072	EOG093707VQ:Duplicated	42	25000	0.00168
Av	BUSCO	telo	AVAG00013	755016	780016	EOG093707VQ:Duplicated	12	25000	0.00048
Av	BUSCO	telo	AVAG00229	0	23150	EOG093707VQ:Duplicated	36	23150	0.00155507559395248
Av	BUSCO	telo	AVAG00561	36755	61755	EOG093707VQ:Duplicated	30	25000	0.0012
Av	BUSCO	telo	AVAG00561	6503	31503	EOG093707VQ:Duplicated	36	25000	0.00144
Av	BUSCO	telo	AVAG00586	73707	98707	EOG0937084T:Complete	36	25000	0.00144
Av	BUSCO	telo	AVAG00141	68893	93893	EOG0937085E:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00141	98613	123613	EOG0937085E:Duplicated	6	25000	0.00024
Av	BUSCO	telo	AVAG00243	145573	170573	EOG0937085E:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00243	177754	202754	EOG0937085E:Duplicated	30	25000	0.0012
Av	BUSCO	telo	AVAG00027	546726	571726	EOG093708IM:Duplicated	72	25000	0.00288
Av	BUSCO	telo	AVAG00027	575726	600726	EOG093708IM:Duplicated	48	25000	0.00192
Av	BUSCO	telo	AVAG00036	168596	193596	EOG093708IM:Duplicated	54	25000	0.00216
Av	BUSCO	telo	AVAG00036	198412	223412	EOG093708IM:Duplicated	30	25000	0.0012
Av	BUSCO	telo	AVAG00021	705684	730684	EOG093708OP:Duplicated	12	25000	0.00048
Av	BUSCO	telo	AVAG00021	735379	751534	EOG093708OP:Duplicated	6	16155	0.000371402042711235
Av	BUSCO	telo	AVAG00120	262618	287618	EOG093708OP:Duplicated	30	25000	0.0012
Av	BUSCO	telo	AVAG00120	292077	317077	EOG093708OP:Duplicated	12	25000	0.00048
Av	BUSCO	telo	AVAG00011	375320	400320	EOG093708TP:Duplicated	36	25000	0.00144
Av	BUSCO	telo	AVAG00011	402629	427629	EOG093708TP:Duplicated	36	25000	0.00144
Av	BUSCO	telo	AVAG00082	377000	402000	EOG093708TP:Duplicated	36	25000	0.00144
Av	BUSCO	telo	AVAG00082	404308	429308	EOG093708TP:Duplicated	42	25000	0.00168
Av	BUSCO	telo	AVAG00307	0	10536	EOG093708TP:Duplicated	18	10536	0.00170842824601367
Av	BUSCO	telo	AVAG00307	13033	38033	EOG093708TP:Duplicated	12	25000	0.00048
Av	BUSCO	telo	AVAG00218	142997	167997	EOG0937091Y:Duplicated	36	25000	0.00144
Av	BUSCO	telo	AVAG00218	184943	209943	EOG0937091Y:Duplicated	72	25000	0.00288
Av	BUSCO	telo	AVAG00527	2805	27805	EOG0937091Y:Duplicated	42	25000	0.00168
Av	BUSCO	telo	AVAG00263	234543	239465	EOG0937092T:Complete	0	4922	0
Av	BUSCO	telo	AVAG00263	206996	231996	EOG0937092T:Complete	18	25000	0.00072
Av	BUSCO	telo	AVAG00084	268718	293718	EOG0937092W:Complete	24	25000	0.00096
Av	BUSCO	telo	AVAG00084	297067	322067	EOG0937092W:Complete	18	25000	0.00072
Av	BUSCO	telo	AVAG00108	109787	134787	EOG093709BZ:Complete	24	25000	0.00096
Av	BUSCO	telo	AVAG00108	77931	102931	EOG093709BZ:Complete	24	25000	0.00096
Av	BUSCO	telo	AVAG00125	104575	129575	EOG093709HP:Complete	6	25000	0.00024
Av	BUSCO	telo	AVAG00125	68958	93958	EOG093709HP:Complete	30	25000	0.0012
Av	BUSCO	telo	AVAG00039	362123	387123	EOG093709JG:Duplicated	12	25000	0.00048
Av	BUSCO	telo	AVAG00039	393619	418619	EOG093709JG:Duplicated	6	25000	0.00024
Av	BUSCO	telo	AVAG00301	141615	166615	EOG093709JG:Duplicated	36	25000	0.00144
Av	BUSCO	telo	AVAG00301	172254	197254	EOG093709JG:Duplicated	6	25000	0.00024
Av	BUSCO	telo	AVAG00851	0	17176	EOG09370A22:Complete	24	17176	0.00139729855612483
Av	BUSCO	telo	AVAG00851	27460	45252	EOG09370A22:Complete	12	17792	0.000674460431654676
Av	BUSCO	telo	AVAG00014	16066	41066	EOG09370ADO:Duplicated	6	25000	0.00024
Av	BUSCO	telo	AVAG00014	46125	71125	EOG09370ADO:Duplicated	24	25000	0.00096
Av	BUSCO	telo	AVAG00058	192389	217389	EOG09370ADO:Duplicated	6	25000	0.00024
Av	BUSCO	telo	AVAG00058	222101	247101	EOG09370ADO:Duplicated	36	25000	0.00144
Av	BUSCO	telo	AVAG00422	14451	39451	EOG09370ADO:Duplicated	12	25000	0.00048
Av	BUSCO	telo	AVAG00422	44501	69501	EOG09370ADO:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00027	190136	215136	EOG09370AI8:Complete	30	25000	0.0012
Av	BUSCO	telo	AVAG00027	225049	250049	EOG09370AI8:Complete	6	25000	0.00024
Av	BUSCO	telo	AVAG00005	783817	808817	EOG09370AJP:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00005	812951	837951	EOG09370AJP:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00018	153404	178404	EOG09370AJP:Duplicated	12	25000	0.00048
Av	BUSCO	telo	AVAG00018	182559	207559	EOG09370AJP:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00322	118064	143064	EOG09370AJP:Duplicated	78	25000	0.00312
Av	BUSCO	telo	AVAG00322	85319	110319	EOG09370AJP:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00100	383261	408261	EOG09370AL3:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00100	413453	437443	EOG09370AL3:Duplicated	24	23990	0.00100041684035015
Av	BUSCO	telo	AVAG00136	160912	185912	EOG09370AL3:Duplicated	72	25000	0.00288
Av	BUSCO	telo	AVAG00136	189878	214878	EOG09370AL3:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00318	141680	166680	EOG09370AL3:Duplicated	36	25000	0.00144
Av	BUSCO	telo	AVAG00318	171754	196754	EOG09370AL3:Duplicated	36	25000	0.00144
Av	BUSCO	telo	AVAG00166	104373	129373	EOG09370ARO:Duplicated	24	25000	0.00096
Av	BUSCO	telo	AVAG00166	136043	161043	EOG09370ARO:Duplicated	6	25000	0.00024
Av	BUSCO	telo	AVAG00424	1793	26793	EOG09370ARO:Duplicated	30	25000	0.0012
Av	BUSCO	telo	AVAG00424	34717	59717	EOG09370ARO:Duplicated	6	25000	0.00024
Av	BUSCO	telo	AVAG00114	267961	292961	EOG09370AS9:Duplicated	12	25000	0.00048
Av	BUSCO	telo	AVAG00114	299005	324005	EOG09370AS9:Duplicated	48	25000	0.00192
Av	BUSCO	telo	AVAG01023	3706	26209	EOG09370AS9:Duplicated	54	22503	0.00239968004266098
Av	BUSCO	telo	AVAG00165	113081	138081	EOG09370AV1:Duplicated	30	25000	0.0012
Av	BUSCO	telo	AVAG00165	82083	107083	EOG09370AV1:Duplicated	12	25000	0.00048
Av	BUSCO	telo	AVAG00348	57035	82035	EOG09370AV1:Duplicated	30	25000	0.0012
Av	BUSCO	telo	AVAG00348	88060	113060	EOG09370AV1:Duplicated	12	25000	0.00048
Av	BUSCO	telo	AVAG00187	105242	130242	EOG09370AWB:Duplicated	0	25000	0
Av	BUSCO	telo	AVAG00388	95285	120285	EOG09370AWB:Duplicated	0	25000	0
Av	BUSCO	telo	AVAG00187	78536	103536	EOG09370AWB:Duplicated	24	25000	0.00096
Av	BUSCO	telo	AVAG00388	68569	93569	EOG09370AWB:Duplicated	24	25000	0.00096
Av	BUSCO	telo	AVAG00534	0	17931	EOG09370AWB:Duplicated	30	17931	0.00167308014053873
Av	BUSCO	telo	AVAG00534	19819	44819	EOG09370AWB:Duplicated	66	25000	0.00264
Av	BUSCO	telo	AVAG00025	123417	148417	EOG09370B1L:Duplicated	24	25000	0.00096
Av	BUSCO	telo	AVAG00025	95820	120820	EOG09370B1L:Duplicated	12	25000	0.00048
Av	BUSCO	telo	AVAG00061	257764	282764	EOG09370B1L:Duplicated	24	25000	0.00096
