feature	control.is_DE	control.is_DE_down	control.is_DE_up	control.log2FC	control.negLogPadj	control.padj	is.BUSCO	is.HGT	length	t7.is_DE	t7.is_DE_down	t7.is_DE_up	t7.log2FC	t7.negLogPadj	t7.padj	t24.is_DE	t24.is_DE_down	t24.is_DE_up	t24.log2FC	t24.negLogPadj	t24.padj
ARIC|g46120.t1	0	0	0	0.433792379604753	0.568431190898685	0.270127506123034	0	1	2826	0	0	0	0.0143929530141379	0.00821670275529047	0.98125819603046	0	0	0	-1.15492695306709	3.8257182547059	0.000149376316297927
ARIC|g46663.t1	0	0	0	0	0	0	0	1	13188	0	0	0	0	0	0	0	0	0	0	0	0
ARIC|g46675.t1	0	0	0	0	0	0	0	1	4851	0	0	0	0	0	0	0	0	0	0	0	0
ARIC|g47056.t1	0	0	0	0	0	0	0	1	4689	0	0	0	0	0	0	0	0	0	0	0	0
ARIC|g47799.t1	0	0	0	0.631446809333741	0.843025949139775	0.143540366527534	0	0	3243	0	0	0	0.57091288580707	0.683738599044246	0.207138773767452	0	0	0	-1.50568353063323	4.09194433331378	8.0919961353828e-05
ARIC|g48209.t1	0	0	0	0.708264139287246	6.4990778639775	3.1689992471958e-07	0	1	13467	0	0	0	-0.066448377847278	0.0855972665316525	0.821112632187424	0	0	0	-0.986457450765677	11.9998523296744	1.00034008130496e-12
ARIC|g48980.t1	0	0	0	0.518665962552427	0.835715283385795	0.145977094946212	0	1	7382	0	0	0	-0.150396808711325	0.10998111281995	0.776280875836952	0	0	0	-1.02362448742399	5.13738923106961	7.28804035841453e-06
ARIC|g49019.t1	0	0	0	0	0	0	0	1	4160	0	0	0	0	0	0	1	0	1	6.70572925563981	5.77694400026828	1.67130610555819e-06
ARIC|g49714.t1	0	0	0	1.13023208734549	1.44623876920431	0.0357899614657974	0	1	4953	0	0	0	-0.54709650291673	0.310333940605691	0.489402360129753	1	1	0	-4.96187958053608	15.29975418218	5.01470994144019e-16
ARIC|g49874.t1	0	0	0	0	0	0	0	1	7905	0	0	0	0	0	0	0	0	0	0	0	0
ARIC|g49937.t1	0	0	0	0.441476344029566	0.410816341318043	0.388314545511744	0	1	10080	0	0	0	-0.612218904855798	0.682765983148657	0.207603187284199	0	0	0	-1.7365914249782	3.62910525105548	0.000234906345747755
ARIC|g51137.t1	0	0	0	0	0	0	0	1	3111	0	0	0	0	0	0	1	0	1	7.80443490759993	29.0975469460791	7.98827585861309e-30
ARIC|g51138.t1	0	0	0	0	0	0	0	0	2409	0	0	0	0	0	0	1	0	1	9.49413746770954	13.1447766749127	7.16511763770272e-14
ARIC|g51213.t1	0	0	0	0.560299885971226	0.633229465317385	0.232686150431492	0	1	5910	0	0	0	-0.0683101329539652	0.0316293009737277	0.929759659458182	0	0	0	-0.90118435508587	3.3624380882894	0.000434072139248341
ARIC|g51257.t1	0	0	0	0	0	0	0	1	4326	0	0	0	0	0	0	1	0	1	6.24112304632942	10.8671606090576	1.35781121338453e-11
ARIC|g51304.t1	0	0	0	0	0	0	0	1	3765	1	0	1	7.44410529088941	5.84631494545534	1.42457413384158e-06	1	0	1	7.34128321491421	9.93590961104121	1.15901855557985e-10
ARIC|g51530.t1	0	0	0	0	0	0	0	1	4107	0	0	0	0	0	0	1	0	1	6.46437697626295	43.7014974839286	1.98839433006337e-44
ARIC|g51804.t1	0	0	0	0	0	0	0	1	2400	0	0	0	0	0	0	1	0	1	3.58838615658154	4.84375488875303	1.43299643923507e-05
ARIC|g51868.t1	0	0	0	0	0	0	0	1	5039	0	0	0	0	0	0	1	0	1	7.54872133696952	42.8089755642593	1.5524743580483e-43
ARIC|g51958.t1	0	0	0	0	0	0	0	1	2398	0	0	0	0	0	0	1	0	1	5.70239654161346	14.8111207132819	1.54482499172979e-15
ARIC|g54050.t1	0	0	0	0	0	0	0	1	11641	0	0	0	0	0	0	0	0	0	0	0	0
